time,voltage,current,power,energy,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,solenoid_2_state,solenoid_3_state,doublesolenoid_0-1_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_7_current,talon_7_voltage,talon_7_value,talon_7_position,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,doublesolenoid_6-7_state,doublesolenoid_4-5_state,
26,12.6,0.0,0.0,104.54750000000001,0.125,12.200000000000001,0.0078125,0,0.0,12.5,0.0,0,0.0,12.05,0.0078125,-94,0.0,12.15,0.0,0,false,false,kOff,0.0,12.05,0.0078125,-3403,0.0,12.05,0.0,0,0.0,12.200000000000001,0.0078125,0,kReverse,kOff,
88,12.55,0.0,0.0,104.54750000000001,0.125,12.200000000000001,0.0078125,0,0.125,12.5,0.0,0,0.0,12.450000000000001,0.0078125,-94,0.0,12.5,0.0,0,false,false,kOff,0.0,12.4,0.0078125,-3403,0.0,12.4,0.0,0,0.0,12.55,0.0078125,0,kReverse,kOff,
128,12.55,0.0,0.0,104.54750000000001,0.125,12.450000000000001,0.0078125,0,0.0,12.5,0.0,0,0.0,12.450000000000001,0.0078125,-94,0.0,12.5,0.0,0,false,false,kOff,0.0,12.4,0.0078125,-3403,0.0,12.4,0.0,0,0.0,12.55,0.0078125,0,kReverse,kOff,
167,12.6,0.0,0.0,104.54750000000001,0.125,12.450000000000001,0.0078125,0,0.125,12.5,0.0,0,0.0,12.450000000000001,0.0078125,-94,0.0,12.5,0.0,0,false,false,kOff,0.0,12.4,0.0078125,-3403,0.0,12.4,0.0,0,0.0,12.55,0.0078125,0,kReverse,kOff,
207,12.5,0.0,0.0,104.54750000000001,0.125,12.450000000000001,0.0078125,0,0.0,12.5,0.0,0,0.0,12.450000000000001,0.0078125,-94,0.0,12.5,0.0,0,false,false,kOff,0.0,12.4,0.0078125,-3403,0.0,12.4,0.0,0,0.0,12.55,0.0078125,0,kReverse,kOff,
234,12.55,0.0,0.0,104.54750000000001,0.125,12.450000000000001,0.0078125,0,0.0,12.5,0.0,0,0.0,12.450000000000001,0.0078125,-94,0.0,12.5,0.0,0,false,false,kOff,0.0,12.4,0.0078125,-3403,0.0,12.4,0.0,0,0.0,12.55,0.0078125,0,kReverse,kOff,
268,12.6,0.0,0.0,104.54750000000001,0.125,12.450000000000001,0.0078125,0,0.0,12.5,0.0,0,0.0,12.450000000000001,0.0078125,-94,0.0,12.5,0.0,0,false,false,kOff,0.0,12.4,0.0078125,-3403,0.0,12.4,0.0,0,0.0,12.5,0.0078125,0,kReverse,kOff,
309,12.6,0.0,0.0,104.54750000000001,0.125,12.450000000000001,0.0078125,0,0.0,12.5,0.0,0,0.0,12.450000000000001,0.0078125,-94,0.0,12.5,0.0,0,false,false,kOff,0.0,12.4,0.0078125,-3403,0.0,12.4,0.0,0,0.0,12.5,0.0078125,0,kReverse,kOff,
351,12.6,0.0,0.0,104.54750000000001,0.125,12.450000000000001,0.0078125,0,0.0,12.5,0.0,0,0.0,12.450000000000001,0.0078125,-94,0.0,12.5,0.0,0,false,false,kOff,0.0,12.4,0.0078125,-3403,0.0,12.4,0.0,0,0.0,12.5,0.0078125,0,kReverse,kOff,
387,12.6,0.0,0.0,104.54750000000001,0.125,12.450000000000001,0.0078125,0,0.125,12.5,0.0,0,0.0,12.450000000000001,0.0078125,-94,0.0,12.5,0.0,0,false,false,kOff,0.0,12.4,0.0078125,-3403,0.0,12.4,0.0,0,0.0,12.5,0.0078125,0,kReverse,kOff,
427,12.55,0.0,0.0,104.54750000000001,0.125,12.450000000000001,0.0078125,0,0.0,12.5,0.0,0,0.0,12.4,0.0078125,-94,0.0,12.450000000000001,0.0,0,false,false,kOff,0.0,12.4,0.0078125,-3403,0.0,12.4,0.0,0,0.0,12.5,0.0078125,0,kReverse,kOff,
468,12.55,0.0,0.0,104.54750000000001,0.125,12.450000000000001,0.0078125,0,0.0,12.5,0.0,0,0.0,12.4,0.0078125,-94,0.0,12.450000000000001,0.0,0,false,false,kOff,0.0,12.4,0.0078125,-3403,0.0,12.4,0.0,0,0.0,12.5,0.0078125,0,kReverse,kOff,
