time,voltage,current,power,energy,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,solenoid_2_state,solenoid_3_state,doublesolenoid_0-1_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_7_current,talon_7_voltage,talon_7_value,talon_7_position,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,doublesolenoid_6-7_state,doublesolenoid_4-5_state,
29,12.700000000000001,0.0,0.0,0.0,0.0,12.5,0.00390625,0,0.0,12.6,0.0,0,0.0,12.450000000000001,0.00390625,0,0.0,12.5,0.0,0,false,true,kOff,0.0,12.450000000000001,-0.0078125,0,0.0,12.450000000000001,0.0,0,0.0,12.55,0.0078125,0,kReverse,kOff,
81,12.65,0.0,0.0,0.0,0.0,12.5,0.00390625,0,0.0,12.6,0.0,0,0.0,12.450000000000001,0.00390625,0,0.0,12.5,0.0,0,false,true,kOff,0.0,12.5,-0.0078125,0,0.0,12.5,0.0,0,0.0,12.6,0.0078125,0,kReverse,kOff,
122,12.65,0.0,0.0,0.0,0.125,12.55,0.00390625,0,0.0,12.6,0.0,0,0.0,12.55,0.00390625,0,0.0,12.6,0.0,0,false,true,kOff,0.0,12.5,-0.0078125,0,0.0,12.5,0.0,0,0.0,12.6,0.0078125,0,kReverse,kOff,
161,12.65,0.0,0.0,0.0,0.0,12.55,0.00390625,0,0.0,12.6,0.0,0,0.0,12.55,0.00390625,0,0.0,12.6,0.0,0,false,true,kOff,0.0,12.5,-0.0078125,0,0.0,12.5,0.0,0,0.0,12.6,0.0078125,0,kReverse,kOff,
201,12.65,0.0,0.0,0.0,0.0,12.55,0.00390625,0,0.0,12.6,0.0,0,0.0,12.55,0.00390625,0,0.0,12.6,0.0,0,false,true,kOff,0.0,12.5,-0.0078125,0,0.0,12.5,0.0,0,0.0,12.6,0.0078125,0,kReverse,kOff,
241,12.65,0.0,0.0,0.0,0.0,12.55,0.00390625,0,0.0,12.6,0.0,0,0.0,12.55,0.00390625,0,0.0,12.6,0.0,0,false,true,kOff,0.0,12.5,-0.0078125,0,0.0,12.5,0.0,0,0.0,12.6,0.0078125,0,kReverse,kOff,
281,12.65,0.0,0.0,0.0,0.0,12.55,0.00390625,0,0.0,12.6,0.0,0,0.0,12.55,0.00390625,0,0.0,12.6,0.0,0,false,true,kOff,0.0,12.5,-0.0078125,0,0.0,12.5,0.0,0,0.0,12.6,0.0078125,0,kReverse,kOff,
308,12.6,0.0,0.0,0.0,0.125,12.55,0.00390625,0,0.0,12.6,0.0,0,0.0,12.55,0.00390625,0,0.0,12.6,0.0,0,false,true,kOff,0.0,12.5,-0.0078125,0,0.0,12.5,0.0,0,0.0,12.6,0.0078125,0,kReverse,kOff,
341,12.65,0.0,0.0,0.0,0.0,12.55,0.00390625,0,0.0,12.6,0.0,0,0.0,12.55,0.00390625,0,0.0,12.6,0.0,0,false,true,kOff,0.0,12.5,-0.0078125,0,0.0,12.5,0.0,0,0.0,12.6,0.0078125,0,kReverse,kOff,
382,12.6,0.0,0.0,0.0,0.0,12.55,0.00390625,0,0.0,12.6,0.0,0,0.0,12.55,0.00390625,0,0.0,12.6,0.0,0,false,true,kOff,0.0,12.5,-0.0078125,0,0.0,12.5,0.0,0,0.0,12.6,0.0078125,0,kReverse,kOff,
422,12.6,0.0,0.0,0.0,0.125,12.55,0.00390625,0,0.0,12.6,0.0,0,0.0,12.55,0.00390625,0,0.0,12.55,0.0,0,false,true,kOff,0.0,12.450000000000001,-0.0078125,0,0.0,12.5,0.0,0,0.0,12.6,0.0078125,0,kReverse,kOff,
461,12.65,0.0,0.0,0.0,0.0,12.55,0.00390625,0,0.0,12.6,0.0,0,0.0,12.55,0.00390625,0,0.0,12.55,0.0,0,false,true,kOff,0.0,12.450000000000001,-0.0078125,0,0.0,12.5,0.0,0,0.0,12.6,0.0078125,0,kReverse,kOff,
