time,voltage,current,power,energy,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_4_velocity,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_5_velocity,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_2_velocity,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,talon_3_velocity,solenoid_2_state,solenoid_3_state,doublesolenoid_0-1_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_1_velocity,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,talon_6_velocity,doublesolenoid_6-7_state,doublesolenoid_4-5_state,
63,11.75,0.0,0.0,525.2625,0.125,11.7,6.09375,4,0.0,0.0,12.200000000000001,0.0,0,0.0,0.0,11.45,6.09375,5,0.0,0.0,11.65,0.0,0,0.0,false,false,kOff,0.375,11.5,68.0,114,0.0,0.0,11.65,6599.0,438,0.0,kReverse,kOff,
100,12.05,0.0,0.0,525.2625,0.125,11.7,6.09375,4,0.0,0.0,12.200000000000001,0.0,0,0.0,0.0,11.45,6.09375,5,0.0,0.0,11.65,0.0,0,0.0,false,false,kOff,1.375,11.5,68.0,114,0.0,0.0,11.65,6599.0,438,0.0,kReverse,kOff,
127,12.05,0.0,0.0,525.2625,0.125,11.7,6.09375,4,0.0,0.0,12.200000000000001,0.0,0,0.0,0.0,11.45,6.09375,5,0.0,0.0,11.65,0.0,0,0.0,false,false,kOff,1.375,11.5,68.0,114,0.0,0.0,11.65,6599.0,438,0.0,kReverse,kOff,
160,12.1,0.0,0.0,525.2625,0.125,11.7,6.09375,4,0.0,0.0,12.0,0.0,0,0.0,0.0,11.45,6.09375,5,0.0,0.0,11.65,0.0,0,0.0,false,false,kOff,1.5,11.5,68.0,114,0.0,0.0,11.65,6599.0,438,0.0,kReverse,kOff,
185,12.1,0.0,0.0,525.2625,0.125,11.7,6.09375,4,0.0,0.0,12.0,0.0,0,0.0,0.0,11.45,6.09375,5,0.0,0.0,11.65,0.0,0,0.0,false,false,kOff,1.375,11.5,68.0,114,0.0,0.0,11.65,6599.0,438,0.0,kReverse,kOff,
221,12.1,0.0,0.0,525.2625,0.125,12.0,6.09375,4,0.0,0.0,12.0,0.0,0,0.0,0.0,12.0,6.09375,5,0.0,0.0,12.05,0.0,0,0.0,false,false,kOff,1.25,11.9,68.0,101,-7.0,0.0,12.05,6599.0,438,0.0,kReverse,kOff,
247,12.1,0.0,0.0,525.2625,0.125,12.0,6.09375,4,0.0,0.0,12.0,0.0,0,0.0,0.0,12.0,6.09375,5,0.0,0.0,12.05,0.0,0,0.0,false,false,kOff,1.25,11.9,68.0,101,-7.0,0.0,12.05,6599.0,438,0.0,kReverse,kOff,
280,12.1,0.0,0.0,525.2625,0.125,12.0,6.09375,4,0.0,0.0,12.0,0.0,0,0.0,0.0,12.0,6.09375,5,0.0,0.0,12.05,0.0,0,0.0,false,false,kOff,1.375,11.9,68.0,101,-7.0,0.0,12.05,6599.0,438,0.0,kReverse,kOff,
304,12.1,0.0,0.0,525.2625,0.125,12.0,6.09375,4,0.0,0.0,12.0,0.0,0,0.0,0.0,12.0,6.09375,5,0.0,0.0,12.05,0.0,0,0.0,false,false,kOff,1.375,11.9,68.0,101,-7.0,0.0,12.05,6599.0,438,0.0,kReverse,kOff,
341,12.1,0.0,0.0,525.2625,0.125,12.0,6.09375,4,0.0,0.0,12.05,0.0,0,0.0,0.0,12.0,6.09375,5,0.0,0.0,12.05,0.0,0,0.0,false,false,kOff,1.25,11.9,68.0,101,-7.0,0.0,12.05,6599.0,438,0.0,kReverse,kOff,
