time,voltage,current,power,energy,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_4_velocity,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_5_velocity,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_2_velocity,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,talon_3_velocity,solenoid_2_state,solenoid_3_state,doublesolenoid_0-1_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_1_velocity,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,talon_6_velocity,doublesolenoid_6-7_state,doublesolenoid_4-5_state,
76,12.05,0.0,0.0,8855.6575,0.125,12.0,6.09375,5616,0.0,0.125,12.05,0.0,0,0.0,0.0,11.95,6.09375,5548,0.0,0.0,12.0,0.0,0,0.0,false,false,kOff,0.0,11.9,-0.0078125,30,0.0,0.0,12.05,-0.0078125,1618,0.0,kReverse,kOff,
134,12.05,0.0,0.0,8855.6575,0.25,12.0,6.09375,5616,0.0,0.125,12.05,0.0,0,0.0,0.0,12.0,6.09375,5548,0.0,0.125,12.0,0.0,0,0.0,false,false,kOff,0.0,11.9,-0.0078125,30,0.0,0.0,12.05,-0.0078125,1617,0.0,kReverse,kOff,
174,12.1,0.0,0.0,8855.6575,0.25,12.0,6.09375,5616,0.0,0.125,12.05,0.0,0,0.0,0.0,12.0,6.09375,5548,0.0,0.0,12.0,0.0,0,0.0,false,false,kOff,0.0,11.9,-0.0078125,30,0.0,0.0,12.05,-0.0078125,1617,0.0,kReverse,kOff,
213,12.1,0.0,0.0,8855.6575,0.25,12.0,6.09375,5616,0.0,0.125,12.05,0.0,0,0.0,0.0,12.0,6.09375,5548,0.0,0.0,12.0,0.0,0,0.0,false,false,kOff,0.0,11.9,-0.0078125,30,0.0,0.0,12.05,-0.0078125,1617,0.0,kReverse,kOff,
255,12.05,0.0,0.0,8855.6575,0.25,12.0,6.09375,5616,0.0,0.125,12.0,0.0,0,0.0,0.0,12.0,6.09375,5548,0.0,0.0,12.0,0.0,0,0.0,false,false,kOff,0.0,11.9,-0.0078125,30,0.0,0.0,12.05,-0.0078125,1617,0.0,kReverse,kOff,
293,12.05,0.0,0.0,8855.6575,0.25,12.0,6.09375,5616,0.0,0.125,12.0,0.0,0,0.0,0.0,11.95,6.09375,5548,0.0,0.0,12.0,0.0,0,0.0,false,false,kOff,0.0,11.9,-0.0078125,30,0.0,0.0,12.0,-0.0078125,1617,0.0,kReverse,kOff,
333,12.1,0.0,0.0,8855.6575,0.25,12.0,6.09375,5616,0.0,0.125,12.0,0.0,0,0.0,0.0,11.95,6.09375,5548,0.0,0.0,12.0,0.0,0,0.0,false,false,kOff,0.0,11.9,-0.0078125,30,0.0,0.0,12.0,-0.0078125,1617,0.0,kReverse,kOff,
372,12.1,0.0,0.0,8855.6575,0.125,12.0,6.09375,5616,0.0,0.125,12.0,0.0,0,0.0,0.0,11.95,6.09375,5548,0.0,0.0,12.0,0.0,0,0.0,false,false,kOff,0.0,11.9,-0.0078125,30,0.0,0.0,12.0,-0.0078125,1617,0.0,kReverse,kOff,
