time,voltage,current,power,energy,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_4_velocity,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_5_velocity,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_2_velocity,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,talon_3_velocity,solenoid_2_state,solenoid_3_state,doublesolenoid_0-1_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_1_velocity,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,talon_6_velocity,doublesolenoid_6-7_state,doublesolenoid_4-5_state,
12,11.8,0.0,0.0,3582.3624999999997,0.125,11.75,630.5,-377,0.0,0.125,11.75,0.0,0,0.0,0.0,11.7,650.0,-812,0.0,0.125,11.600000000000001,0.0,0,0.0,false,false,kOff,0.0,11.600000000000001,0.0,84,0.0,0.125,11.7,0.0,-1030,0.0,kReverse,kReverse,
48,9.95,0.0,0.0,3582.3624999999997,10.0,11.45,630.5,-377,0.0,4.0,11.75,0.0,0,0.0,7.375,11.7,650.0,-812,0.0,5.375,11.600000000000001,0.0,0,0.0,false,false,kOff,0.0,11.600000000000001,0.0,84,0.0,0.0,11.7,0.0,-1030,0.0,kReverse,kReverse,
85,9.45,50.875,483.25,3592.0274999999997,20.0,11.45,630.5,-377,0.0,16.5,11.75,0.0,0,0.0,9.375,11.7,650.0,-812,0.0,8.125,11.600000000000001,0.0,0,0.0,false,false,kOff,0.0,11.600000000000001,0.0,84,0.0,0.0,11.7,0.0,-1030,0.0,kReverse,kReverse,
146,9.3,61.75,577.25,3622.1925,16.375,11.45,630.5,-377,0.0,17.625,8.9,0.0,0,0.0,8.0,11.7,650.0,-812,0.0,12.125,11.600000000000001,0.0,0,0.0,false,false,kOff,0.0,11.600000000000001,0.0,84,0.0,0.0,11.7,0.0,-1030,0.0,kReverse,kReverse,
187,9.5,61.75,586.625,3645.6575,13.5,9.15,630.5,-361,14.0,14.375,8.9,0.0,0,0.0,8.5,9.25,650.0,-627,95.0,11.0,9.05,0.0,0,0.0,false,false,kOff,0.0,9.3,0.0,84,0.0,0.0,9.350000000000001,0.0,-1030,0.0,kReverse,kReverse,
226,9.8,50.875,490.875,3665.2425,12.25,9.15,630.5,-361,14.0,13.25,8.9,0.0,0,0.0,8.25,9.25,650.0,-627,95.0,9.875,9.05,0.0,0,0.0,false,false,kOff,0.0,9.3,0.0,84,0.0,0.0,9.350000000000001,0.0,-1030,0.0,kReverse,kReverse,
266,9.850000000000001,40.125,409.25,3683.55,9.875,9.15,630.5,-361,14.0,11.125,8.9,0.0,0,0.0,6.625,9.25,650.0,-627,95.0,8.5,9.05,0.0,0,0.0,false,false,kOff,0.0,9.3,0.0,84,0.0,0.0,9.350000000000001,0.0,-1030,0.0,kReverse,kReverse,
306,10.5,40.125,421.25,3700.3199999999997,7.0,9.15,630.5,-361,14.0,8.25,10.100000000000001,0.0,0,0.0,5.5,9.25,650.0,-627,95.0,6.75,9.05,0.0,0,0.0,false,false,kOff,0.0,9.3,0.0,84,0.0,0.0,9.350000000000001,0.0,-1030,0.0,kReverse,kReverse,
346,10.600000000000001,24.875,266.125,3710.915,4.75,10.5,630.5,-160,158.0,5.5,10.100000000000001,0.0,0,0.0,4.375,10.5,650.0,-367,177.0,5.25,10.5,0.0,0,0.0,false,false,kOff,0.0,10.55,0.0,84,0.0,0.0,10.65,0.0,-1030,0.0,kReverse,kReverse,
386,10.8,24.875,269.875,3721.685,3.75,10.5,630.5,-160,158.0,3.625,10.100000000000001,0.0,0,0.0,3.75,10.5,650.0,-367,177.0,4.125,10.5,0.0,0,0.0,false,false,kOff,0.0,10.55,0.0,84,0.0,0.0,10.65,0.0,-1030,0.0,kReverse,kReverse,
426,11.0,16.25,178.75,3728.8175,2.75,10.5,630.5,-160,158.0,2.5,10.100000000000001,0.0,0,0.0,3.5,10.5,650.0,-367,177.0,3.75,10.5,0.0,0,0.0,false,false,kOff,0.0,10.55,0.0,84,0.0,0.0,10.65,0.0,-1030,0.0,kReverse,kReverse,
466,11.100000000000001,12.375,137.25,3735.17,2.25,10.5,630.5,-160,158.0,2.0,10.9,0.0,0,0.0,3.375,10.5,650.0,-367,177.0,3.5,10.5,0.0,0,0.0,false,false,kOff,0.0,10.55,0.0,84,0.0,0.0,10.65,0.0,-1030,0.0,kReverse,kReverse,
506,11.15,12.375,137.875,3740.6850000000004,2.0,11.0,630.5,141,190.0,1.625,10.9,0.0,0,0.0,2.625,11.0,650.0,-43,208.0,2.625,11.0,0.0,0,0.0,false,false,kOff,0.0,11.0,0.0,84,0.0,0.0,11.100000000000001,0.0,-1030,0.0,kReverse,kReverse,
545,11.15,10.875,121.75,3745.545,2.25,11.0,630.5,141,190.0,1.625,10.9,0.0,0,0.0,2.375,11.0,650.0,-43,208.0,2.625,11.0,0.0,0,0.0,false,false,kOff,0.0,11.0,0.0,84,0.0,0.0,11.100000000000001,0.0,-1030,0.0,kReverse,kReverse,
