time,voltage,current,power,energy,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_4_velocity,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_5_velocity,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_2_velocity,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,talon_3_velocity,solenoid_2_state,solenoid_3_state,doublesolenoid_0-1_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_1_velocity,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,talon_6_velocity,doublesolenoid_6-7_state,doublesolenoid_4-5_state,
51,12.200000000000001,0.0,0.0,51772.5025,0.125,11.9,6.09375,2163,0.0,0.125,12.1,0.0,0,0.0,0.0,12.05,6.09375,2424,0.0,0.125,12.1,0.0,0,0.0,false,false,kOff,0.0,12.0,0.0,66,0.0,6.25,12.1,657257.0,401012,0.0,kReverse,kOff,
82,11.3,0.0,0.0,51772.5025,0.125,11.9,6.09375,2163,0.0,0.125,12.1,0.0,0,0.0,0.0,12.05,6.09375,2424,0.0,0.125,12.1,0.0,0,0.0,false,false,kOff,0.0,12.0,0.0,66,0.0,21.625,12.1,657257.0,401012,0.0,kReverse,kOff,
119,11.3,20.25,229.75,51781.6725,0.25,11.9,6.09375,2163,0.0,0.125,12.1,0.0,0,0.0,0.0,12.05,6.09375,2424,0.0,0.0,12.1,0.0,0,0.0,false,false,kOff,0.125,12.0,0.0,66,0.0,23.75,12.1,657257.0,401012,0.0,kReverse,kOff,
144,11.350000000000001,20.25,229.75,51786.2675,0.25,11.9,6.09375,2163,0.0,0.125,11.25,0.0,0,0.0,0.0,12.05,6.09375,2424,0.0,0.0,12.1,0.0,0,0.0,false,false,kOff,0.125,12.0,0.0,66,0.0,22.125,12.1,657257.0,401012,0.0,kReverse,kOff,
180,11.350000000000001,23.25,263.875,51796.822499999995,0.25,11.9,6.09375,2163,0.0,0.125,11.25,0.0,0,0.0,0.0,11.25,6.09375,2424,0.0,0.125,12.1,0.0,0,0.0,false,false,kOff,0.125,11.2,0.0,65,0.0,21.125,12.1,657257.0,401012,0.0,kReverse,kOff,
204,11.4,23.25,265.0,51802.122500000005,0.25,11.9,6.09375,2163,0.0,0.125,11.25,0.0,0,0.0,0.0,11.25,6.09375,2424,0.0,0.125,11.3,0.0,0,0.0,false,false,kOff,0.125,11.2,0.0,65,0.0,19.625,10.95,657257.0,455501,9179.0,kReverse,kOff,
239,11.5,20.0,229.0,51811.2825,0.25,11.3,6.09375,2163,0.0,0.125,11.25,0.0,0,0.0,0.0,11.25,6.09375,2424,0.0,0.125,11.3,0.0,0,0.0,false,false,kOff,0.125,11.2,0.0,65,0.0,18.5,10.95,657257.0,455501,9179.0,kReverse,kOff,
265,11.5,20.0,230.0,51815.8825,0.25,11.3,6.09375,2163,0.0,0.125,11.25,0.0,0,0.0,0.0,11.25,6.09375,2424,0.0,0.125,11.3,0.0,0,0.0,false,false,kOff,0.125,11.2,0.0,65,0.0,16.0,10.95,657257.0,455501,9179.0,kReverse,kOff,
300,11.55,16.5,191.375,51824.33,0.25,11.3,6.09375,2163,0.0,0.125,11.45,0.0,0,0.0,0.0,11.25,6.09375,2424,0.0,0.125,11.3,0.0,0,0.0,false,false,kOff,0.125,11.2,0.0,65,0.0,13.75,10.95,657257.0,455501,9179.0,kReverse,kOff,
325,11.600000000000001,16.5,192.125,51828.1725,0.125,11.3,6.09375,2163,0.0,0.125,11.45,0.0,0,0.0,0.0,11.5,6.09375,2424,0.0,0.0,11.3,0.0,0,0.0,false,false,kOff,0.125,11.2,0.0,65,0.0,12.5,10.95,657257.0,455501,9179.0,kReverse,kOff,
359,11.7,12.625,147.625,51834.9675,0.125,11.3,6.09375,2163,0.0,0.125,11.45,0.0,0,0.0,0.0,11.5,6.09375,2424,0.0,0.0,11.600000000000001,0.0,0,0.0,false,false,kOff,0.125,11.45,0.0,65,0.0,11.25,11.4,657257.0,516162,9454.0,kReverse,kOff,
383,11.75,12.625,148.25,51837.932499999995,0.25,11.600000000000001,6.09375,2163,0.0,0.125,11.45,0.0,0,0.0,0.0,11.5,6.09375,2424,0.0,0.125,11.600000000000001,0.0,0,0.0,false,false,kOff,0.125,11.45,0.0,65,0.0,9.125,11.4,657257.0,516162,9454.0,kReverse,kOff,
418,11.8,8.625,101.75,51842.945,0.25,11.600000000000001,6.09375,2163,0.0,0.125,11.45,0.0,0,0.0,0.0,11.5,6.09375,2424,0.0,0.0,11.600000000000001,0.0,0,0.0,false,false,kOff,0.125,11.45,0.0,65,0.0,8.125,11.4,657257.0,516162,9454.0,kReverse,kOff,
443,11.8,8.625,101.75,51844.98,0.25,11.600000000000001,6.09375,2163,0.0,0.125,11.45,0.0,0,0.0,0.0,11.5,6.09375,2424,0.0,0.0,11.600000000000001,0.0,0,0.0,false,false,kOff,0.125,11.45,0.0,65,0.0,7.0,11.4,657257.0,516162,9454.0,kReverse,kOff,
479,11.8,6.875,81.125,51848.637500000004,0.25,11.600000000000001,6.09375,2163,0.0,0.125,11.75,0.0,0,0.0,0.0,11.5,6.09375,2424,0.0,0.0,11.600000000000001,0.0,0,0.0,false,false,kOff,0.125,11.45,0.0,65,0.0,6.75,11.4,657257.0,516162,9454.0,kReverse,kOff,
