time,voltage,current,power,energy,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_4_velocity,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_5_velocity,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_2_velocity,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,talon_3_velocity,solenoid_2_state,solenoid_3_state,doublesolenoid_0-1_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_1_velocity,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,talon_6_velocity,doublesolenoid_6-7_state,doublesolenoid_4-5_state,
51,12.1,0.0,0.0,57863.34,0.25,12.0,6.09375,-30879,0.0,0.125,12.05,0.0,0,0.0,0.0,12.0,6.09375,-26867,0.0,0.125,12.0,0.0,0,0.0,false,false,kReverse,0.0,11.95,0.0,82,0.0,0.0,12.05,105161.0,3605,0.0,kReverse,kOff,
79,12.1,0.0,0.0,57863.34,0.25,12.0,6.09375,-30879,0.0,0.125,12.05,0.0,0,0.0,0.0,12.0,6.09375,-26867,0.0,0.125,12.0,0.0,0,0.0,false,false,kReverse,0.125,11.95,0.0,82,0.0,0.0,12.05,105161.0,3605,0.0,kReverse,kOff,
105,12.1,0.0,0.0,57863.34,0.25,12.0,6.09375,-30879,0.0,0.125,12.05,0.0,0,0.0,0.0,12.0,6.09375,-26867,0.0,0.0,12.0,0.0,0,0.0,false,false,kReverse,0.25,11.95,0.0,82,0.0,0.0,12.05,105161.0,3605,0.0,kReverse,kOff,
140,12.1,0.0,0.0,57863.34,0.25,12.0,6.09375,-30879,0.0,0.125,12.05,0.0,0,0.0,0.0,12.0,6.09375,-26867,0.0,0.0,12.0,0.0,0,0.0,false,false,kReverse,0.375,11.95,0.0,82,0.0,0.25,12.05,105161.0,3605,0.0,kReverse,kOff,
179,12.1,0.0,0.0,57863.34,0.25,12.0,6.09375,-30879,0.0,0.125,12.05,0.0,0,0.0,0.0,12.0,6.09375,-26867,0.0,0.0,12.0,0.0,0,0.0,false,false,kReverse,0.375,11.9,0.0,82,0.0,0.25,12.05,105161.0,3605,0.0,kReverse,kOff,
205,12.1,0.0,0.0,57863.34,0.25,12.0,6.09375,-30879,0.0,0.125,12.05,0.0,0,0.0,0.0,12.0,6.09375,-26867,0.0,0.0,12.0,0.0,0,0.0,false,false,kReverse,0.375,11.9,0.0,82,0.0,0.0,12.05,105161.0,3605,0.0,kReverse,kOff,
238,12.1,0.0,0.0,57863.34,0.25,12.0,6.09375,-30879,0.0,0.125,12.05,0.0,0,0.0,0.0,12.0,6.09375,-26867,0.0,0.0,12.0,0.0,0,0.0,false,false,kReverse,0.375,11.9,0.0,82,0.0,0.0,12.05,105161.0,3605,0.0,kReverse,kOff,
264,12.05,0.0,0.0,57863.34,0.25,12.0,6.09375,-30879,0.0,0.125,12.05,0.0,0,0.0,0.0,12.0,6.09375,-26867,0.0,0.0,12.0,0.0,0,0.0,false,false,kReverse,0.375,11.9,0.0,82,0.0,0.25,12.05,105161.0,3605,0.0,kReverse,kOff,
300,12.1,0.0,0.0,57863.34,0.25,12.0,6.09375,-30879,0.0,0.125,12.0,0.0,0,0.0,0.0,12.0,6.09375,-26867,0.0,0.0,12.0,0.0,0,0.0,false,false,kReverse,0.375,11.9,0.0,82,0.0,0.25,12.05,105161.0,3605,0.0,kReverse,kOff,
325,12.1,0.0,0.0,57863.34,0.25,12.0,6.09375,-30879,0.0,0.125,12.0,0.0,0,0.0,0.0,12.0,6.09375,-26867,0.0,0.0,12.0,0.0,0,0.0,false,false,kReverse,0.375,11.9,0.0,82,0.0,0.25,12.05,105161.0,3605,0.0,kReverse,kOff,
359,12.1,0.0,0.0,57863.34,0.25,12.0,6.09375,-30879,0.0,0.125,12.0,0.0,0,0.0,0.0,12.0,6.09375,-26867,0.0,0.0,12.0,0.0,0,0.0,false,false,kReverse,0.375,11.9,0.0,82,0.0,0.25,12.05,105161.0,3605,0.0,kReverse,kOff,
386,12.1,0.0,0.0,57863.34,0.25,12.0,6.09375,-30879,0.0,0.125,12.0,0.0,0,0.0,0.0,12.0,6.09375,-26867,0.0,0.0,12.0,0.0,0,0.0,false,false,kReverse,0.375,11.9,0.0,82,0.0,0.25,12.05,105161.0,3605,0.0,kReverse,kOff,
